Garamond 157 Fount (Chars=Capitals) (Style=s)
Case Layout: case_layout/layout32.txt
Wedge: S536-11.25
Wedge Units: [5, 6, 7, 8, 9, 9, 10, 10, 11, 12, 13, 14, 15, 17, 18, 18]
Galley Width: 37 pica (155mm)
Setsize: 11.25
Calc units of set per line: 710.4
Quad: Position: ('H', 15)
Jspace: Position: ('H', 2)

Increase the speed of the punch...
**p30
**d100
Send commands to test all the punches, then advance 400mm (125 linefeeds)
**t4
**f125
|------------------------------o| '0005' ['0005'] Caster Stopping
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 180 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 186 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 192 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 198 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 204 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 210 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 216 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 222 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 228 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 234 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 240 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 246 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 252 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 258 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 264 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 270 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 276 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 282 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 288 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 294 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 300 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 306 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 312 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 318 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 324 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 330 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 336 of 638.4
|-------------o---o-------------| 'I' ['C', '2']  Width: 6, Used: 342 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 348 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 366 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 373 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 380 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 387 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 394 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 401 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 408 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 415 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 422 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 429 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 436 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 443 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 450 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 457 of 638.4
|---------------o--o------------| 'J' ['A', '3']  Width: 7, Used: 464 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 471 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 489 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 500 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 511 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 522 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 533 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 544 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 555 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 566 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 577 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 588 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 599 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 610 of 638.4
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 621 of 638.4
|------o--o-------o-------------| ' ' ['S', 'H', '2'] Justification Space
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|------------o------o-----------| '0075' ['0075', '4']  Unset: 2.4, Units to 1 j-spaces: 0.4, req_0005"_steps: 7 = round(0.4 * 12 * 1.537)
|------------o-----------------o| '0005/0075' ['0005', '0075', '0']  Justification: (7 + 53) / 15 = 4/0
|------o------------------------| '█' ['H', '15'] 
|------o------------------------| '█' ['H', '15'] 
|--------------o---------o------| 'K' ['B', '9']  Width: 11, Used: 0 of 638.4
|------o------------------------| '█' ['H', '15']  Width: 18, Used: 11 of 638.4
|----------o---------o----------| 'L' ['E', '5']  Width: 9, Used: 29 of 638.4
|----------o---------o----------| 'L' ['E', '5']  Width: 9, Used: 38 of 638.4
|----------o---------o----------| 'L' ['E', '5']  Width: 9, Used: 47 of 638.4
|----------o---------o----------| 'L' ['E', '5']  Width: 9, Used: 56 of 638.4
|----------o---------o----------| 'L' ['E', '5']  Width: 9, Used: 65 of 638.4
